feature,F,p,eta2,p_holm
n_tokens,155.31198830533367,3.200811289780311e-215,0.31716584678474685,4.481135805692435e-214
n_chars,154.96266478911355,8.275186974030908e-215,0.31667839191552277,1.075774306624018e-213
is_question,77.27145557122088,4.610283574901861e-115,0.18771315658237608,5.532340289882233e-114
lowercase_first_char,43.52372340318123,5.215594195436085e-66,0.11517298341530949,5.737153614979693e-65
flesch_kincaid_grade,33.68014382042851,5.636023804954483e-51,0.09150841765401545,5.636023804954483e-50
contraction_rate,20.461761902314034,2.516895715627949e-30,0.057665281896432025,2.265206144065154e-29
disfluency_per_100tok,16.383828749529577,6.991949612741657e-24,0.046709668885423744,5.593559690193325e-23
present_term_per_100tok,13.424634202058282,3.3255641833786936e-19,0.0385987588309512,2.3278949283650857e-18
nonstandard_spelling,11.981373110204654,6.273524691068621e-17,0.0345926162773173,3.7641148146411723e-16
abstract_noun_ratio,4.967983367918785,3.976497230536286e-06,0.014640006163122724,1.988248615268143e-05
future_term_per_100tok,4.0517477735189695,8.38283113420567e-05,0.011972303608314307,0.0003353132453682268
hedge_count_per_100tok,3.8565491670264302,0.00015820312279291732,0.011402097694683063,0.00047460936837875195
past_term_per_100tok,1.5205061770287147,0.14463234927400356,0.004526723784828956,0.2892646985480071
mtld,,,0.0,
